#Frequency	Mic 1	Mic 2
714.000	1.293	0.681
715.000	1.241	0.664
716.000	1.199	0.647
717.000	1.156	0.633
718.000	1.114	0.615
719.000	1.066	0.601
720.000	1.015	0.593
721.000	0.973	0.581
722.000	0.940	0.570
723.000	0.883	0.559
724.000	0.853	0.547
725.000	0.818	0.542
726.000	0.779	0.540
727.000	0.765	0.535
728.000	0.739	0.556
729.000	0.698	0.530
730.000	0.671	0.532
731.000	0.631	0.515
732.000	0.614	0.512
733.000	0.589	0.516
734.000	0.573	0.514
735.000	0.565	0.512
736.000	0.541	0.514
737.000	0.530	0.515
738.000	0.527	0.513
739.000	0.525	0.516
740.000	0.536	0.520
741.000	0.535	0.528
742.000	0.559	0.531
743.000	0.563	0.540
744.000	0.595	0.540
745.000	0.613	0.551
746.000	0.641	0.560
747.000	0.677	0.566
748.000	0.725	0.587
749.000	0.795	0.626
750.000	0.844	0.644
751.000	0.888	0.674
752.000	0.932	0.658
753.000	1.019	0.675
754.000	1.045	0.689
755.000	1.103	0.714
756.000	1.176	0.717
757.000	1.244	0.708
758.000	1.298	0.730
759.000	1.389	0.746
760.000	1.456	0.768
761.000	1.542	0.790
762.000	1.599	0.799
763.000	1.668	0.810
764.000	1.718	0.825
765.000	1.773	0.835
766.000	1.810	0.843
767.000	1.850	0.839
768.000	1.851	0.838
769.000	1.874	0.827
770.000	1.875	0.824
771.000	1.852	0.805
772.000	1.813	0.789
773.000	1.789	0.772
774.000	1.767	0.753
775.000	1.689	0.731
776.000	1.655	0.717
777.000	1.604	0.688
778.000	1.546	0.666
779.000	1.489	0.650
780.000	1.419	0.626
781.000	1.373	0.613
782.000	1.326	0.594
783.000	1.254	0.578
784.000	1.209	0.564
785.000	1.169	0.554
786.000	1.128	0.547
787.000	1.088	0.559
788.000	1.029	0.515
789.000	0.988	0.504
790.000	0.952	0.494
791.000	0.892	0.500
792.000	0.861	0.482
793.000	0.828	0.480
794.000	0.800	0.483
795.000	0.771	0.470
796.000	0.739	0.458
797.000	0.707	0.454
798.000	0.692	0.454
799.000	0.672	0.455
800.000	0.659	0.456
801.000	0.651	0.450
802.000	0.654	0.450
803.000	0.660	0.451
804.000	0.677	0.452
805.000	0.691	0.453
806.000	0.718	0.456
807.000	0.741	0.465
808.000	0.777	0.466
809.000	0.818	0.472
810.000	0.860	0.473
811.000	0.913	0.486
812.000	0.984	0.491
813.000	1.049	0.501
814.000	1.105	0.503
815.000	1.160	0.513
816.000	1.249	0.525
817.000	1.308	0.532
818.000	1.388	0.541
819.000	1.468	0.558
820.000	1.519	0.561
821.000	1.605	0.564
822.000	1.662	0.577
823.000	1.715	0.580
824.000	1.784	0.575
825.000	1.806	0.572
826.000	1.839	0.567
827.000	1.858	0.564
828.000	1.855	0.554
829.000	1.869	0.550
830.000	1.850	0.537
831.000	1.820	0.522
832.000	1.790	0.512
833.000	1.753	0.501
834.000	1.713	0.487
835.000	1.664	0.472
836.000	1.608	0.465
837.000	1.556	0.442
